Temperature,Pressure,Enthalpy_liquid,Enthalpy_vapor,Entropy_liquid,Entropy_vapor
-100,0.00201,90.71,358.97,0.505,2.0543
-90,0.00481,101.32,363.85,0.5646,1.998
-80,0.01037,111.94,368.77,0.621,1.9508
-70,0.02047,122.58,373.7,0.6747,1.9108
-60,0.0375,133.27,378.59,0.726,1.877
-50,0.06453,144.03,383.42,0.7752,1.848
-48,0.07145,146.19,384.37,0.7849,1.8428
-46,0.07894,148.36,385.32,0.7944,1.8376
-44,0.08705,150.53,386.26,0.8039,1.8327
-42,0.0958,152.7,387.2,0.8134,1.8278
-40,0.10523,154.89,388.13,0.8227,1.8231
-38,0.11538,157.07,389.06,0.832,1.8186
-36,0.12628,159.27,389.97,0.8413,1.8141
-34,0.13797,161.47,390.89,0.8505,1.8098
-32,0.1505,163.67,391.79,0.8596,1.8056
-30,0.16389,165.88,392.69,0.8687,1.8015
-28,0.17819,168.1,393.58,0.8778,1.7975
-26,0.19344,170.33,394.47,0.8868,1.7937
-24,0.20968,172.56,395.34,0.8957,1.7899
-22,0.22696,174.8,396.21,0.9046,1.7862
-20,0.24531,177.04,397.06,0.9135,1.7826
-18,0.26479,179.3,397.91,0.9223,1.7791
-16,0.28543,181.56,398.75,0.9311,1.7757
-14,0.30728,183.83,399.57,0.9398,1.7723
-12,0.33038,186.11,400.39,0.9485,1.769
-10,0.35479,188.4,401.2,0.9572,1.7658
-8,0.38054,190.7,401.99,0.9658,1.7627
-6,0.40769,193.01,402.77,0.9744,1.7596
-4,0.43628,195.33,403.55,0.983,1.7566
-2,0.46636,197.66,404.3,0.9915,1.7536
0 ,0.49799,200,405.05,1,1.7507
2 ,0.5312,202.35,405.78,1.0085,1.7478
4 ,0.56605,204.71,406.5,1.0169,1.745
6 ,0.60259,207.09,407.2,1.0254,1.7422
8 ,0.64088,209.47,407.89,1.0338,1.7395
10 ,0.68095,211.87,408.56,1.0422,1.7368
12 ,0.72286,214.28,409.21,1.0505,1.7341
14 ,0.76668,216.7,409.85,1.0589,1.7315
16 ,0.81244,219.14,410.47,1.0672,1.7289
18 ,0.8602,221.59,411.07,1.0755,1.7263
20 ,0.91002,224.06,411.66,1.0838,1.7238
22 ,0.96195,226.54,412.22,1.0921,1.7212
24 ,1.016,229.04,412.77,1.1004,1.7187
26 ,1.0724,231.55,413.29,1.1086,1.7162
28 ,1.1309,234.08,413.79,1.1169,1.7136
30 ,1.1919,236.62,414.26,1.1252,1.7111
32 ,1.2552,239.19,414.71,1.1334,1.7086
34 ,1.321,241.77,415.14,1.1417,1.7061
36 ,1.3892,244.38,415.54,1.1499,1.7036
38 ,1.4601,247,415.91,1.1582,1.701
40 ,1.5336,249.65,416.25,1.1665,1.6985
42 ,1.6098,252.32,416.55,1.1747,1.6959
44 ,1.6887,255.01,416.83,1.183,1.6933
46 ,1.7704,257.73,417.07,1.1913,1.6906
48 ,1.8551,260.47,417.27,1.1997,1.6879
50 ,1.9427,263.25,417.44,1.208,1.6852
52 ,2.0333,266.05,417.56,1.2164,1.6824
54 ,2.127,268.89,417.63,1.2248,1.6795
56 ,2.2239,271.76,417.66,1.2333,1.6766
58 ,2.324,274.66,417.63,1.2418,1.6736
60 ,2.4275,277.61,417.55,1.2504,1.6705
65 ,2.7012,285.18,417.06,1.2722,1.6622
70 ,2.9974,293.1,416.09,1.2945,1.6529
75 ,3.3177,301.46,414.49,1.3177,1.6424
80 ,3.6638,310.44,412.01,1.3423,1.6299
85 ,4.0378,320.38,408.19,1.369,1.6142
90 ,4.4423,332.09,401.87,1.4001,1.5922
95 ,4.8824,349.56,387.28,1.4462,1.5486