Temperature,Pressure,Enthalpy_liquid,Enthalpy_vapor,Entropy_liquid,Entropy_vapor
-175,0.00001,-201.26,384.73,-1.4643,4.506
-170,0.00002,-189.85,390.67,-1.351,4.277
-165,0.00005,-178.48,396.66,-1.2433,4.0747
-160,0.00013,-167.11,402.69,-1.1405,3.8953
-155,0.00027,-155.73,408.76,-1.0421,3.7356
-150,0.00054,-144.33,414.87,-0.9476,3.5932
-145,0.00103,-132.89,421,-0.8566,3.4657
-140,0.00185,-121.42,427.16,-0.7688,3.3513
-135,0.00316,-109.9,433.34,-0.6839,3.2484
-130,0.00519,-98.34,439.53,-0.6017,3.1557
-125,0.00821,-86.72,445.71,-0.5219,3.0719
-120,0.01255,-75.04,451.89,-0.4445,2.9962
-115,0.01863,-63.31,458.04,-0.3691,2.9274
-110,0.02691,-51.5,464.15,-0.2957,2.8649
-105,0.03793,-39.62,470.2,-0.2241,2.8078
-100,0.0523,-27.66,476.16,-0.1542,2.7556
-95,0.07068,-15.61,482.04,-0.0858,2.7076
-90,0.0938,-3.46,487.79,-0.0188,2.6635
-85,0.12243,8.79,493.42,0.0469,2.6227
-80,0.15741,21.15,498.91,0.1115,2.585
-78,0.17338,26.13,501.07,0.1370,2.5707
-76,0.19055,31.13,503.20,0.1623,2.5567
-74,0.20899,36.16,505.30,0.1875,2.5432
-72,0.22877,41.20,507.38,0.2125,2.5300
-70,0.24993,46.27,509.43,0.2373,2.5172
-68,0.27255,51.36,511.45,0.2621,2.5048
-66,0.29668,56.48,513.44,0.2867,2.4926
-64,0.32238,61.62,515.40,0.3111,2.4808
-62,0.34972,66.79,517.34,0.3355,2.4692
-60,0.37877,71.99,519.23,0.3597,2.4580
-58,0.40958,77.21,521.10,0.3838,2.4470
-56,0.44223,82.47,522.93,0.4078,2.4362
-54,0.47677,87.75,524.73,0.4317,2.4257
-52,0.51328,93.07,526.48,0.4556,2.4154
-50,0.55183,98.42,528.20,0.4793,2.4053
-48,0.59247,103.80,529.88,0.5029,2.3954
-46,0.63529,109.22,531.52,0.5265, 2.3856
-44,0.68034,114.68,533.11,0.5500,2.3760
-42,0.72770,120.18,534.66,0.5735,2.3666
-40,0.77744,125.71,536.16,0.5969,2.3573
-38,0.82963,131.29,537.60,0.6202,2.3481
-36,0.88433,136.91,539.00,0.6435,2.3390
-34,0.94163,142.57,540.34,0.6668,2.3301
-32,1.00160,148.28,541.62,0.6900,2.3211
-30,1.06430,154.04,542.85,0.7133,2.3123
-28,1.12980,159.86,544.00,0.7365,2.3035
-26,1.19820,165.72,545.10,0.7597,2.2947
-24,1.26960,171.64,546.12,0.7829,2.2859
-22,1.34400,177.62,547.06,0.8062,2.2772
-20,1.42150,183.67,547.93,0.8295,2.2684
-16,1.5863,195.95,549.41,0.8761,2.2507
-14,1.6737,202.20,550.02,0.8996,2.2417
-12,1.7645,208.53,550.52,0.9231,2.2326
-10,1.8588,214.94,550.91,0.9467,2.2234
-8,1.9568,221.43,551.19,0.9704,2.2140
-6,2.0585,228.02,551.35,0.9942,2.2045
-4,2.1640,234.71,551.37,1.0182,2.1947
-2,2.2734,241.50,551.24,1.0423,2.1847
0,2.38670,248.41,550.96,1.0667,2.1743
5,2.68830,266.27,549.46,1.1287,2.1468
10,3.01720,285.14,546.55,1.1928,2.1161
15,3.37550,305.36,541.71,1.2602,2.0804
20,3.76550,327.57,533.99,1.3328,2.0369
25,4.19030,353.26,521.20,1.4152,1.9785
30,4.65510,388.24,494.95,1.5263,1.8783